time,open,high,low,close,tick_volume,spread,real_volume
2022-12-28,16678.0,16764.0,16450.0,16508.0,18970,1500,0
2022-12-29,16506.0,16643.0,16450.0,16580.0,15173,1800,0
2022-12-30,16581.0,16638.0,16325.0,16573.0,18252,2000,0
2023-01-03,16740.0,16759.0,16590.0,16649.0,15964,2100,0
2023-01-04,16647.0,16974.0,16632.0,16809.0,23008,1900,0
2023-01-05,16810.0,16862.0,16745.0,16835.0,14780,1700,0
2023-01-06,16834.0,17018.0,16662.0,16908.0,17041,1500,0
2023-01-09,16944.0,17389.0,16941.0,17167.0,27356,1700,0
2023-01-10,17170.0,17483.0,17120.0,17453.0,23110,1900,0
2023-01-11,17438.0,17569.0,17298.0,17548.0,22370,1900,0
2023-01-12,17549.0,19099.0,17500.0,18810.0,63405,1200,0
2023-01-13,18819.0,19862.0,18707.0,19799.0,56767,1200,0
2023-01-16,20894.0,21431.0,20617.0,21122.0,80116,600,0
2023-01-17,21122.0,21562.0,20848.0,21316.0,67599,600,0
2023-01-18,21304.0,21628.0,20387.0,20761.0,77611,1500,0
2023-01-19,20767.0,21180.0,20616.0,20935.0,52380,1100,0
2023-01-20,20923.0,22422.0,20857.0,22318.0,57479,1900,0
2023-01-23,22583.0,23160.0,22490.0,22985.0,75032,1700,0
2023-01-24,22989.0,23156.0,22702.0,22875.0,62631,1400,0
2023-01-25,22893.0,23658.0,22320.0,23584.0,73423,1500,0
2023-01-26,23584.0,23792.0,22825.0,23064.0,80439,1700,0
2023-01-27,23070.0,23492.0,22533.0,23073.0,65950,1600,0
2023-01-30,23784.0,23873.0,22559.0,22726.0,76663,2000,0
2023-01-31,22736.0,23211.0,22497.0,22926.0,60798,1700,0
2023-02-01,22940.0,23788.0,22761.0,23667.0,62935,1600,0
2023-02-02,23672.0,24245.0,23514.0,23566.0,69778,1400,0
2023-02-03,23424.0,23706.0,23197.0,23348.0,65345,1700,0
2023-02-06,22896.0,23143.0,22630.0,22898.0,48482,1500,0
