time,open,close,high,low,tick_volume,target_close
2022-01-25,36761.07,36608.51,37561.36,35697.72,154417,36349.16
2022-01-26,36605.01,36349.16,38921.08,36314.45,146860,36201.02
2022-01-27,36424.49,36201.02,37218.17,35494.73,136384,37859.15
2022-01-28,36150.73,37859.15,38015.6,35908.5,134380,38411.43
2022-01-31,37769.25,38411.43,38762.9,36634.08,99022,38718.27
2022-02-01,38472.93,38718.27,39287.42,37981.44,111681,36862.3
2022-02-02,38847.12,36862.3,38911.39,36573.65,113848,36949.37
2022-02-03,36924.42,36949.37,37241.92,36262.89,111193,40602.88
2022-02-04,36869.87,40602.88,40914.61,36796.47,107782,44031.49
2022-02-07,41712.17,44031.49,44547.96,41485.93,110029,44242.06
2022-02-08,44067.39,44242.06,45513.62,42689.72,110569,44484.97
2022-02-09,44167.65,44484.97,44848.59,43130.46,83217,43720.15
2022-02-10,44475.97,43720.15,45835.21,43178.46,118119,42540.25
2022-02-11,43711.65,42540.25,44080.52,42035.93,123359,42260.08
2022-02-14,42253.45,42260.08,42857.52,41534.0,97463,43995.82
2022-02-15,42290.08,43995.82,44535.51,42278.34,89473,44068.92
2022-02-16,44006.83,44068.92,44772.18,43318.51,93466,40692.15
2022-02-17,44026.15,40692.15,44206.03,40058.52,114404,40011.26
2022-02-18,40631.19,40011.26,40984.36,39424.88,110473,37221.71
2022-02-21,38294.98,37221.71,39495.75,37064.39,143585,37898.27
2022-02-22,36948.19,37898.27,38310.83,36337.5,155712,37566.13
2022-02-23,37926.27,37566.13,39255.27,37387.35,104638,38378.82
2022-02-24,37545.52,38378.82,39753.02,34313.28,193580,39024.01
2022-02-25,38282.87,39024.01,39695.48,37753.37,137212,41636.1
2022-02-28,37477.22,41636.1,41958.17,37302.99,146157,43864.35
2022-03-01,41681.6,43864.35,44981.83,41665.8,138452,43925.82
2022-03-02,43781.84,43925.82,45285.6,43326.17,123185,42102.49
2022-03-03,44126.47,42102.49,44341.1,41786.91,107078,39379.51
2022-03-04,42409.49,39379.51,42691.57,39052.76,126154,37828.69
2022-03-07,39066.11,37828.69,39539.93,37148.71,132086,38518.33
2022-03-08,37946.96,38518.33,39371.04,37846.0,139766,41901.55
2022-03-09,38520.83,41901.55,42583.29,38492.16,102530,39294.59
2022-03-10,41927.05,39294.59,42142.45,38515.3,118585,38823.3
2022-03-11,39142.91,38823.3,40253.51,38220.45,106321,38694.37
2022-03-14,38675.0,38694.37,39299.55,37521.42,94502,39387.01
2022-03-15,38635.63,39387.01,39907.2,38079.62,95720,41236.07
2022-03-16,39351.51,41236.07,41684.9,38785.31,125360,40701.53
2022-03-17,41296.57,40701.53,41485.89,40485.55,73575,41877.5
2022-03-18,40663.53,41877.5,42339.02,40147.89,75390,41175.45
2022-03-21,41155.84,41175.45,41556.75,40496.0,78584,42606.17
2022-03-22,41081.07,42606.17,43362.46,40866.27,75181,42344.79
